"Cart Quantity Multiple","Quantité Panier Multiple"
"Enable","Activer"
"Multiplier","Multiplicateur"
"Excluded categories","Catégories exclues"
"Enter category ID's to exclude from the multiplier rule (comma separated).","Entrez les ID des catégories à exclure de la règle du multiplicateur (séparés par des virgules)."
"Display permanent warning message","Afficher un message d'avertissement permanent"
"This always display warning message in the checkout cart. This does not block the ordering process.","Cela affiche toujours un message d'avertissement dans le panier de commande. Cela ne bloque pas le processus de commande."
"Permanent warning message","Message d'avertissement permanent"
"This message will show as defined when conditions are not met. Use % for introduction of multiplier value.","Ce message s'affichera lorsque les conditions ne sont pas remplies. Utilisez % pour l'introduction de la valeur du multiplicateur."
"Block ordering if no multiplier in cart","Bloquer le passage de commande si aucun multiplicateur n'est présent dans le panier"
"Error message","Message d'erreur"
